id;nome;categoria_regulatoria;data_vencimento_registro;classe_terapeutica;mari;situacao_registro;principio_ativo;estoque;preco
2159;CADUET;NOVO;2019-02-01;ANTI-HIPERTENSIVOS + ANTILIPEMICOS;S;CANCELADO;CADUCOU;0;107
2160;CAELYX;NOVO;2009-03-01;ANTINEOPLASICO;S;CANCELADO;CADUCOU;20;115
2161;CAFIASPIRINA;SIMILAR;2009-08-01;ANALGESICOS NAO NARCOTICOS;S;CANCELADO;CADUCOU;0;432
2162;CAFILISADOR;NOVO;2012-03-01;ANALGESICOS NAO NARCOTICOS;S;CANCELADO;CADUCOU;11;417
2163;CAL-ASSIMILATE;SIMILAR;2005-08-01;VITAMINAS E SUPLEMENTOS MINERAIS;S;CANCELADO;CADUCOU;28;279
2164;CAL-C;SIMILAR;2008-11-01;VITAMINAS OU MINERAIS ASSOCIADOS A OUTROS FARMACOS;S;CANCELADO;CADUCOU;23;474
2165;CALADRYL;SIMILAR;2012-09-01;ANTIALERGICOS TOPICOS;S;CANCELADO;CADUCOU;27;444
2166;CALAMED;SIMILAR;2017-01-01;ANTIALERGICOS TOPICOS;S;CANCELADO;CADUCOU;13;458
2167;CALAMINA;SIMILAR;2007-07-01;PROTECAO, APARENCIA E CICATRIZACAO DA PELE E MUCOSAS;S;CANCELADO;CADUCOU;8;480
2168;CALAMYN;SIMILAR;2011-07-01;ANTIALERGICOS TOPICOS;S;CANCELADO;CADUCOU;12;177
2169;CALAPHYL;SIMILAR;2014-06-01;ANTISSEPTICO;S;CANCELADO;CADUCOU;23;397
2170;CALATO;SIMILAR;2008-07-01;PRODUTOS A BASE DE CALCIO-ASSOCIACOES MEDICAMENTOSAS;S;CANCELADO;CADUCOU;19;19
2171;CALCHEK;SIMILAR;2008-04-01;ANTI-HIPERTENSIVOS;S;CANCELADO;CADUCOU;28;223
2172;CALCICHELL;SIMILAR;2017-06-01;REPOSITOR DE CALCIO;S;CANCELADO;CADUCOU;2;259
2173;CALCIFERRIN;ESPECÍFICO;2017-02-01;VITAMINAS E SUPLEMENTOS MINERAIS;S;CANCELADO;CADUCOU;19;69
2174;CALCIFIX B12;SIMILAR;2005-07-01;VITAMINAS E SUPLEMENTOS MINERAIS;S;CANCELADO;CADUCOU;30;478
2175;CALCIFIX COMPOSTO B12;ESPECÍFICO;2027-05-01;VITAMINAS E SUPLEMENTOS MINERAIS;S;VÁLIDO;CIANOCOBALAMINA +  FLUORETO DE SÓDIO +  FOSFATO DE CÁLCIO TRIBÁSICO;21;183
2176;CALCIFIX IRRADIADO;SIMILAR;2015-10-01;VITAMINAS E SUPLEMENTOS MINERAIS;S;CANCELADO;CADUCOU;6;404
2177;CALCIGARD RETARD;SIMILAR;2007-08-01;ANTI-HIPERTENSIVOS SIMPLES;S;CANCELADO;CADUCOU;15;334
2178;CALCIGENOL;NOVO;2016-08-01;PRODUTOS A BASE DE CALCIO-ASSOCIACOES MEDICAMENTOSAS;S;CANCELADO;CADUCOU;13;21
2179;CALCIJEX;ESPECÍFICO;2017-10-01;OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF;S;CANCELADO;CADUCOU;3;80
2180;CALCIMEC D3;ESPECÍFICO;2026-08-01;VITAMINAS E SUPLEMENTOS MINERAIS;S;VÁLIDO;CARBONATO DE CÁLCIO +  COLECALCIFEROL;26;215
2181;CALCIMED;ESPECÍFICO;2006-04-01;POLIVITAMINICOS COM MINERAIS;S;CANCELADO;CADUCOU;19;287
2182;CALCIMIN;SIMILAR;2001-09-01;OUTROS PRODUTOS COM ACAO NO SISTEMA MUSCULO ESQUELETICO;S;CANCELADO;CADUCOU;29;457
2183;CALCINOL COMPLEXO;ESPECÍFICO;2008-02-01;PRODUTOS A BASE DE CALCIO-ASSOCIACOES MEDICAMENTOSAS;S;CANCELADO;CADUCOU;5;307
2184;CALCIOBION;SIMILAR;1992-05-01;PRODUTOS A BASE DE CALCIO-ASSOCIACOES MEDICAMENTOSAS;S;CANCELADO;CADUCOU;27;348
2185;CALCIODEX;SIMILAR;2005-02-01;OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF;S;CANCELADO;CADUCOU;1;442
2186;CALCIODORON 1;DINAMIZADO;2010-08-01;MEDICAMENTOS DINAMIZADOS COMPOSTOS;S;CANCELADO;CADUCOU;21;256
2187;CALCIOFAR;ESPECÍFICO;2019-03-01;PRODUTOS A BASE DE CALCIO-ASSOCIACOES MEDICAMENTOSAS;S;CANCELADO;CADUCOU;24;298
2188;CALCIOLIT;SIMILAR;2010-06-01;PRODUTOS A BASE DE CALCIO-ASSOCIACOES MEDICAMENTOSAS;S;CANCELADO;CADUCOU;13;437
2189;CALCIOMAX;SIMILAR;2004-05-01;OUTROS SUPLEMS  MINERAIS EXCETO DE FERRO E P/ REHIDRATACAO;S;CANCELADO;CADUCOU;22;79
2190;CALCIOVITAL B12;ESPECÍFICO;2019-10-01;VITAMINAS E SUPLEMENTOS MINERAIS;S;CANCELADO;CADUCOU;17;55
2191;CALCITON;SIMILAR;2005-05-01;OUTROS HORMONIOS E MODULADORES DO METABOLISMO E DA DIGESTAO;S;CANCELADO;CADUCOU;17;236
2192;CALCITONINA;SIMILAR;2005-12-01;HORMONIOS TIREOIDEANOS SIMPLES OU ASSOCIADOS ENTRE SI;S;CANCELADO;CADUCOU;13;56
2193;CALCITONINA HUMANA SINTETICA;SIMILAR;2003-06-01;HORMONIO HIPOCALCEMICO;S;CANCELADO;CADUCOU;5;404
2194;CALCITONINA SINTETICA DE SALMÃO;SIMILAR;2006-08-01;HORMONIO RECOMBINANTE DO CRESCIMENTO HUMANO;S;CANCELADO;CADUCOU;1;319
2195;CALCITONINA SINTÉTICA;SIMILAR;2001-06-01;HORMONIO HIPOCALCEMICO;S;VÁLIDO;CADUCOU;1;41
2196;CALCITRAN  B12;SIMILAR;2013-05-01;PRODUTOS A BASE DE CALCIO-ASSOCIACOES MEDICAMENTOSAS;S;CANCELADO;CADUCOU;15;335
2197;CALCITRAN B12;ESPECÍFICO;2028-05-01;PRODUTOS A BASE DE CALCIO-ASSOCIACOES MEDICAMENTOSAS;S;CANCELADO;CADUCOU;16;441
2198;CALCITRIMAX;SIMILAR;2008-05-01;OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METABOLISMO;S;CANCELADO;CADUCOU;18;95
2199;CALCITRIOL;SIMILAR;2003-08-01;ANTIGOTOSOS;S;CANCELADO;CADUCOU;18;362
2200;CALCIUM D3;NOVO;2019-08-01;PRODUTOS A BASE DE CALCIO-ASSOCIACOES MEDICAMENTOSAS;S;CANCELADO;CADUCOU;11;73
2201;CALCIUM SANDOZ;ESPECÍFICO;2017-02-01;PRODUTOS A BASE DE CALCIO-ASSOCIACOES MEDICAMENTOSAS;S;CANCELADO;CADUCOU;24;273
2202;CALCORT;NOVO;2029-11-01;GLICOCORTICOIDES SISTEMICOS;S;CANCELADO;CADUCOU;20;255
2203;CALCYLON;ESPECÍFICO;2016-08-01;PRODUTOS A BASE DE CALCIO-ASSOCIACOES MEDICAMENTOSAS;S;CANCELADO;CADUCOU;10;286
2204;CALDROX D;ESPECÍFICO;2025-07-01;PRODUTOS A BASE DE CALCIO-ASSOCIACOES MEDICAMENTOSAS;S;VÁLIDO;CARBONATO DE CÁLCIO +  COLECALCIFEROL;1;283
2205;CALDÊ;SIMILAR;2025-02-01;PRODUTOS A BASE DE CALCIO-ASSOCIACOES MEDICAMENTOSAS;S;CANCELADO;CADUCOU;11;411
2206;CALFACTANTE;BIOLÓGICO;2010-07-01;PRODUTO PARA O APARELHO RESPIRATORIO;S;CANCELADO;CADUCOU;2;292
2207;CALFERON;SIMILAR;2009-03-01;PRODUTOS A BASE DE CALCIO-ASSOCIACOES MEDICAMENTOSAS;S;CANCELADO;CADUCOU;4;333
2208;CALICIDA;NÃO ESPECIFICADO;2009-04-01;CERATOLITICOS E CERATOPLASTICOS;S;CANCELADO;CADUCOU;7;255
2209;CALICIDA TELL;SIMILAR;2008-04-01;CERATOLITICOS E CERATOPLASTICOS;S;CANCELADO;CADUCOU;18;397
2210;CALM. DOR;SIMILAR;2010-09-01;ANALGESICOS NAO NARCOTICOS;S;CANCELADO;CADUCOU;21;470
2211;CALMADOR;SIMILAR;2009-08-01;ANALGESICOS NAO NARCOTICOS;S;CANCELADO;CADUCOU;16;269
2212;CALMALEVHY;FITOTERÁPICO;2030-10-01;ANSIOLITICOS SIMPLES;S;VÁLIDO;PASSIFLORA INCARNATA L.;2;335
2213;CALMAN;FITOTERÁPICO;2019-10-01;FITOTERAPICO COMPOSTO;S;CANCELADO;CADUCOU;0;413
2214;CALMANTE FARMAERVAS;FITOTERÁPICO;2007-02-01;ANSIOLITICOS SIMPLES;S;CANCELADO;CADUCOU;5;15
2215;CALMANTINA;FITOTERÁPICO;2030-03-01;ANSIOLÍTICOS;S;VÁLIDO;PASSIFLORA INCARNATA L.;17;383
2216;CALMAPAX;SIMILAR;2008-09-01;PRODUTOS NATURAIS ASSOCIADOS;S;CANCELADO;CADUCOU;9;490
2217;CALMAPELE;SIMILAR;2005-03-01;EMOLIENTES E PROTETORES DA PELE E MUCOSAS;S;CANCELADO;CADUCOU;23;388
2218;CALMASYN;FITOTERÁPICO;2028-03-01;ANSIOLITICOS SIMPLES;S;VÁLIDO;PASSIFLORA INCARNATA L.;9;270
2219;CALMAVITA;FITOTERÁPICO;2010-12-01;ANSIOLITICOS SIMPLES + FITOTERAPICO SIMPLES;S;CANCELADO;CADUCOU;6;247
2220;CALMAZIL;FITOTERÁPICO;2029-01-01;ANSIOLITICOS SIMPLES + FITOTERAPICO SIMPLES;S;VÁLIDO;VALERIANA OFFICINALIS L.;9;124
2221;CALMI;NÃO ESPECIFICADO;2005-09-01;FITOTERAPICOS ASSOCIADOS;S;CANCELADO;CADUCOU;4;308
2222;CALMINEX DICLO;SIMILAR;2030-11-01;ANTINFLAMATORIOS;S;CANCELADO;CADUCOU;0;43
2223;CALMINEX H;SIMILAR;2015-09-01;RUBEFACIENTES;S;CANCELADO;CADUCOU;12;464
2224;CALMINEX H E CALMINEX ATLETA;NÃO ESPECIFICADO;2015-09-01;RUBEFACIENTES;S;CANCELADO;CADUCOU;27;362
2225;CALMINTHEO;FITOTERÁPICO;2025-05-01;ANSIOLITICOS SIMPLES;S;CANCELADO;CADUCOU;30;438
2226;CALMIPLAN;FITOTERÁPICO;2006-10-01;FITOTERAPICO COMPOSTO;S;CANCELADO;CADUCOU;4;2
2227;CALMIT BIONATUS;FITOTERÁPICO;2016-04-01;ANSIOLITICOS SIMPLES + FITOTERAPICO SIMPLES;S;CANCELADO;CADUCOU;10;28
2228;CALMITANE;FITOTERÁPICO;2026-11-01;ANSIOLITICOS SIMPLES + FITOTERAPICO SIMPLES;S;VÁLIDO;VALERIANA OFFICINALIS L.;19;218
2229;CALMOCITENO;SIMILAR;2014-03-01;ANSIOLITICOS SIMPLES;S;CANCELADO;CADUCOU;18;296
2230;CALMONEX;FITOTERÁPICO;2006-05-01;FITOTERAPICO SIMPLES;S;CANCELADO;CADUCOU;23;465
2231;CALMOPLANTAS;FITOTERÁPICO;2028-09-01;ANSIOLITICOS SIMPLES + FITOTERAPICO SIMPLES;S;VÁLIDO;PASSIFLORA INCARNATA L.;12;22
2232;CALMOXIL;FITOTERÁPICO;2015-11-01;ANSIOLITICOS SIMPLES;S;CANCELADO;CADUCOU;20;63
2233;CALMPHAR PI;FITOTERÁPICO;2029-12-01;ANSIOLITICOS SIMPLES;S;VÁLIDO;PASSIFLORA INCARNATA L.;6;484
2234;CALNATE;SIMILAR;2029-01-01;OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF;S;VÁLIDO;POLIESTIRENOSSULFONATO DE CÁLCIO;26;19
2235;CALOTRAT;SIMILAR;2004-09-01;CERATOLITICOS E CERATOPLASTICOS;S;CANCELADO;CADUCOU;10;136
2236;CALPOL;SIMILAR;2005-08-01;ANALGESICOS NAO NARCOTICOS;S;CANCELADO;CADUCOU;1;247
2237;CALQUENCE;NÃO ESPECIFICADO;2023-12-01;AGENTES ANTINEOPLÁSICOS + INIBIDORES DA PROTEÍNA QUINASE ;S;VÁLIDO;ACALABRUTINIBE;12;485
2238;CALSAN;ESPECÍFICO;2016-09-01;PRODUTOS A BASE DE CALCIO-ASSOCIACOES MEDICAMENTOSAS;S;CANCELADO;CADUCOU;15;299
2239;CALSOL;SIMILAR;2011-04-01;ANTIALERGICOS TOPICOS;S;CANCELADO;CADUCOU;12;304
2240;CALSYNAR;SIMILAR;2007-10-01;OUTROS HORMONIOS E MODULADORES DO METABOLISMO E DA DIGESTAO;S;CANCELADO;CADUCOU;5;83
2241;CALTONIN;SIMILAR;2001-01-01;HORMONIOS TIREOIDEANOS SIMPLES OU ASSOCIADOS ENTRE SI;S;CANCELADO;CADUCOU;23;40
2242;CALTREN;SIMILAR;2028-10-01;ANTIANGINOSOS E VASODILATADORES;S;VÁLIDO;NITRENDIPINO;13;230
2243;CALVIPAR;DINAMIZADO;1965-10-01;ASSOCIACAO HOMEOPATICAS;S;CANCELADO;CADUCOU;30;280
2244;CALZEM;SIMILAR;2011-09-01;ANTI-HIPERTENSIVOS;S;CANCELADO;CADUCOU;10;97
2245;CALÊNDULA CONCRETA;SIMILAR;2019-09-01;PRODUTOS NATURAIS ASSOCIADOS;S;CANCELADO;CADUCOU;27;189
2246;CAMBEM;NÃO ESPECIFICADO;2014-04-01;ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL;S;CANCELADO;CADUCOU;21;437
2247;CAMOMILA;FITOTERÁPICO;2008-02-01;ANTIESPASMODICOS;S;CANCELADO;CADUCOU;14;161
2248;CAMOMILA COMPOSTA CATARINENSE;FITOTERÁPICO;2029-10-01;DIGESTIVOS-ASSOCIACOES MEDICAMENTOSAS + FITOTERAPICO COMPOSTO;S;VÁLIDO;CHAMAEMELUM NOBILE (L.)ALL. +  GENTIANA LUTEA L.;1;424
2249;CAMOMILA CREME;FITOTERÁPICO;2010-11-01;ANTINFLAMATORIOS + CREME DERMATOLOGICO + FITOTERAPICO SIMPLES;S;CANCELADO;CADUCOU;13;418
2250;CAMOMILINA C;ESPECÍFICO;2026-07-01;VITAMINAS OU MINERAIS ASSOCIADOS A OUTROS FARMACOS;S;VÁLIDO;COLECALCIFEROL +  GLYCYRRHIZA GLABRA L. +  MATRICARIA CHAMOMILLA L. +  ÁCIDO ASCÓRBICO;23;288
2251;CAMOXIN;SIMILAR;2006-07-01;ANTIBIOTICOS SISTEMICOS SIMPLES;S;CANCELADO;CADUCOU;2;460
2252;CAMPATH;BIOLÓGICO;2011-04-01;ANTINEOPLASICO;S;CANCELADO;CADUCOU;6;83
2253;CAMPRAL;NOVO;2003-10-01;OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO;S;CANCELADO;CADUCOU;25;237
2254;CAMPTOSAR;NOVO;2008-02-01;ANTINEOPLASICO;S;CANCELADO;CADUCOU;18;215
2255;CAMPTRIX;SIMILAR;2029-05-01;ANTINEOPLASICO;S;VÁLIDO;CLORIDRATO DE IRINOTECANO TRIIDRATADO;28;214
2256;CANCIDAS;NOVO;2026-05-01;ANTI-FUNGICOS;S;VÁLIDO;ACETATO DE CASPOFUNGINA;6;105
2257;CANDECOR;SIMILAR;2028-08-01;ANTI-HIPERTENSIVOS SIMPLES;S;VÁLIDO;CANDESARTANA CILEXETILA;9;219
2258;CANDECOR HCT;SIMILAR;2028-12-01;ANTI-HIPERTENSIVOS;S;VÁLIDO;CANDESARTANA CILEXETILA +  HIDROCLOROTIAZIDA;8;209
2259;CANDEMED;SIMILAR;2018-08-01;ANTI-HIPERTENSIVOS SIMPLES;S;CANCELADO;CADUCOU;10;14
2260;CANDEMED HCT;SIMILAR;2019-01-01;ANTI-HIPERTENSIVOS;S;CANCELADO;CADUCOU;21;123
2261;CANDERM;SIMILAR;2009-02-01;AMEBICIDAS, GIARDICIDAS E TRICOMONICIDAS;S;CANCELADO;CADUCOU;7;139
2262;CANDESARTANA CILEXETILA;GENÉRICO;2028-07-01;ANTI-HIPERTENSIVOS SIMPLES;S;VÁLIDO;CANDESARTANA CILEXETILA;9;30
2263;CANDESSA;SIMILAR;2018-08-01;ANTI-HIPERTENSIVOS SIMPLES;S;CANCELADO;CADUCOU;29;130
2264;CANDESSA HCT;SIMILAR;2018-12-01;ANTI-HIPERTENSIVOS;S;CANCELADO;CADUCOU;10;52
2265;CANDICORT;SIMILAR;2025-01-01;GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA;S;VÁLIDO;CETOCONAZOL +  DIPROPIONATO DE BETAMETASONA;20;464
2266;CANDIDERM;SIMILAR;2010-01-01;ANTIMICOTICOS PARA USO TOPICO;S;CANCELADO;CADUCOU;13;158
2267;CANDIFLOX;SIMILAR;2005-11-01;ANTIMICOTICOS SISTEMICOS;S;CANCELADO;CADUCOU;17;200
2268;CANDIGRAN;SIMILAR;2012-09-01;GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA;S;CANCELADO;CADUCOU;14;448
2269;CANDITRAT;SIMILAR;2026-09-01;ANTIMICOTICO;S;VÁLIDO;NISTATINA;19;299
2270;CANDIZOL;SIMILAR;2010-06-01;ANTIMICOTICOS SISTEMICOS;S;CANCELADO;CADUCOU;22;340
2271;CANDNAZOL;SIMILAR;2007-11-01;GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA;S;CANCELADO;CADUCOU;10;49
2272;CANDORAL;SIMILAR;2025-08-01;ANTIMICOTICOS SISTEMICOS;S;VÁLIDO;CETOCONAZOL;2;221
2273;CANESTEN;NOVO;2024-04-01;ANTIMICOTICOS PARA USO TOPICO;S;VÁLIDO;CLOTRIMAZOL;23;118
2274;CANFORA/MENTOL/EUCALIPTOL/OLEO NOZ MOSC./OLEO FOL. CEDRO/OL. TIMO;SIMILAR;2006-04-01;UNGUENTOS PERCUTANEOS E INALANTES;S;CANCELADO;CADUCOU;9;161
2275;CANSARCOR;SIMILAR;2018-11-01;ANTI-HIPERTENSIVOS SIMPLES;S;CANCELADO;CADUCOU;10;469
2276;CANSARCOR HCT;SIMILAR;2018-12-01;ANTI-HIPERTENSIVOS;S;CANCELADO;CADUCOU;11;114
2277;CAPECARE;SIMILAR;2025-08-01;OUTROS ANTINEOPLASICOS;S;CANCELADO;CADUCOU;21;85
2278;CAPECITABINA;GENÉRICO;2025-06-01;OUTROS ANTINEOPLASICOS;S;VÁLIDO;CAPECITABINA;21;89
2279;CAPELIV;SIMILAR;2027-08-01;OUTROS ANTINEOPLASICOS;S;VÁLIDO;CAPECITABINA;10;402
2280;CAPIBARYNE;ESPECÍFICO;2004-10-01;OUTROS MODULADORES DO APETITE E SUPLEMENTOS DIETETICOS;S;CANCELADO;CADUCOU;9;12
2281;CAPILAREMA;NOVO;2029-10-01;ANTIFIBRINOLITICOS;S;VÁLIDO;AMINAFTONA;9;309
2282;CAPINSON;SIMILAR;2016-02-01;ANTIPARKINSONIANOS;S;CANCELADO;CADUCOU;27;350
2283;CAPOBAL;SIMILAR;2018-01-01;ANTI-HIPERTENSIVOS SIMPLES;S;CANCELADO;CADUCOU;20;428
2284;CAPONA;SIMILAR;2016-02-01;ANTIPARKINSONIANOS;S;CANCELADO;CADUCOU;1;402
2285;CAPOTEC  HCT;SIMILAR;2011-01-01;ANTI-HIPERTENSIVOS;S;CANCELADO;CADUCOU;16;36
2286;CAPOTEN;NOVO;2015-03-01;ANTI-HIPERTENSIVOS SIMPLES;S;CANCELADO;CADUCOU;24;292
2287;CAPOTRAT;SIMILAR;2017-06-01;ANTI-HIPERTENSIVOS SIMPLES;S;CANCELADO;CADUCOU;13;36
2288;CAPOTRINEO;SIMILAR;2011-04-01;ANTI-HIPERTENSIVOS;S;CANCELADO;CADUCOU;6;312
2289;CAPOX;SIMILAR;2028-01-01;ANTI-HIPERTENSIVOS;S;VÁLIDO;CAPTOPRIL;23;274
2290;CAPOX H;SIMILAR;2013-03-01;ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS;S;CANCELADO;CADUCOU;1;491
2291;CAPRELSA;NOVO;2017-11-01;ANTINEOPLASICO;S;CANCELADO;CADUCOU;17;198
2292;CAPRIL;SIMILAR;2007-03-01;ANTI-HIPERTENSIVOS SIMPLES;S;CANCELADO;CADUCOU;0;138
2293;CAPRILAT;SIMILAR;2006-02-01;ANTIANGINOSOS E VASODILATADORES;S;CANCELADO;CADUCOU;9;201
2294;CAPS-IPEN;RADIOFÁRMACO;2024-12-01;IODOTERAPIA;S;VÁLIDO;IODETO DE SÓDIO 131I;1;213
2295;CAPSAICINA;SIMILAR;2003-02-01;ANALGESICOS;S;CANCELADO;CADUCOU;10;98
2296;CAPSALIV;SIMILAR;2005-01-01;ANALGESICOS;S;CANCELADO;CADUCOU;15;97
2297;CAPSFEN;NOVO;2016-11-01;ANTINFLAMATORIOS ANTIREUMATICOS;S;CANCELADO;CADUCOU;19;60
2298;CAPSPLAN;FITOTERÁPICO;2019-12-01;FITOTERAPICO SIMPLES + LAXANTES;S;CANCELADO;CADUCOU;9;210
2299;CAPTIL;SIMILAR;2009-11-01;ANTI-HIPERTENSIVOS SIMPLES;S;CANCELADO;CADUCOU;4;17
2300;CAPTO-BRAS;SIMILAR;2006-06-01;ANTI-HIPERTENSIVOS SIMPLES;S;CANCELADO;CADUCOU;23;178
2301;CAPTOCORD;SIMILAR;2025-07-01;ANTI-HIPERTENSIVOS;S;VÁLIDO;CAPTOPRIL;21;67
2302;CAPTOLAB;SIMILAR;2025-05-01;ANTI-HIPERTENSIVOS SIMPLES;S;CANCELADO;CADUCOU;3;177
2303;CAPTOLIN;SIMILAR;2007-09-01;ANTI-HIPERTENSIVOS SIMPLES;S;CANCELADO;CADUCOU;7;423
2304;CAPTOMAX;SIMILAR;2011-08-01;ANTI-HIPERTENSIVOS;S;CANCELADO;CADUCOU;8;146
2305;CAPTOMIDO;SIMILAR;2025-09-01;ANTI-HIPERTENSIVOS SIMPLES;S;VÁLIDO;CAPTOPRIL;16;386
2306;CAPTON;SIMILAR;2016-11-01;ANTI-HIPERTENSIVOS SIMPLES;S;CANCELADO;CADUCOU;27;422
2307;CAPTOPHEX;SIMILAR;2008-05-01;ANTI-HIPERTENSIVOS SIMPLES;S;CANCELADO;CADUCOU;11;185
2308;CAPTOPIRIL;SIMILAR;2003-08-01;ANTI-HIPERTENSIVOS SIMPLES;S;CANCELADO;CADUCOU;26;374
2309;CAPTOPRIL;SIMILAR;2001-06-01;ANTI-HIPERTENSIVOS;S;CANCELADO;CADUCOU;30;336
2310;CAPTOPRON;SIMILAR;2010-03-01;ANTI-HIPERTENSIVOS SIMPLES;S;CANCELADO;CADUCOU;14;130
2311;CAPTOSEN;SIMILAR;2025-07-01;ANTI-HIPERTENSIVOS;S;VÁLIDO;CAPTOPRIL;20;440
2312;CAPTOTEC;SIMILAR;2019-12-01;ANTI-HIPERTENSIVOS SIMPLES;S;CANCELADO;CADUCOU;2;41
2313;CAPTOZEN;SIMILAR;2010-04-01;ANTI-HIPERTENSIVOS;S;CANCELADO;CADUCOU;2;261
2314;CAPY;SIMILAR;2029-09-01;ANTIALOPECIA;S;VÁLIDO;MINOXIDIL;4;261
2315;CAPYLA-HAIR;SIMILAR;2013-11-01;INIBIDOR DA ALFA-REDUTASE;S;CANCELADO;CADUCOU;29;379
2316;CAPZAT;SIMILAR;2030-12-01;OUTROS ANTINEOPLASICOS;S;VÁLIDO;CAPECITABINA;27;246
2317;CARBAMAZEPINA;SIMILAR;2000-11-01;ANTICONVULSIVANTES;S;CANCELADO;CADUCOU;30;53
2318;CARBASALATO DE CALCIO;NOVO;2001-11-01;ANTICOAGULANTES;S;CANCELADO;CADUCOU;13;249
2319;CARBAX;SIMILAR;2008-03-01;ANTICONVULSIVANTES;S;CANCELADO;CADUCOU;2;474
2320;CARBAZOL;SIMILAR;2004-05-01;ANTICONVULSIVANTES;S;CANCELADO;CADUCOU;1;5
2321;CARBIDOL;SIMILAR;2027-09-01;ANTIPARKINSONIANOS;S;VÁLIDO;LEVODOPA +  CARBIDOPA MONOIDRATADA;13;498
2322;CARBIDOPA / LEVODOPA;GENÉRICO;2020-11-01;ANTIPARKINSONIANOS;S;CANCELADO;CADUCOU;8;262
2323;CARBITAL;SIMILAR;2026-06-01;ANTICONVULSIVANTES;S;VÁLIDO;FENOBARBITAL +  FENOBARBITAL SÓDICO;19;499
2324;CARBOCIN;SIMILAR;2029-05-01;EXPECTORANTES;S;VÁLIDO;CARBOCISTEÍNA;3;232
2325;CARBOCISTEINA;SIMILAR;2001-08-01;EXPECTORANTES BALSAMICOS E MUCOLITICO;S;CANCELADO;CADUCOU;4;363
2326;CARBOCISTEÍNA;GENÉRICO;2025-08-01;EXPECTORANTES BALSAMICOS E MUCOLITICO;S;VÁLIDO;CARBOCISTEÍNA;8;498
2327;CARBOFAN;SIMILAR;2013-08-01;EXPECTORANTES SIMPLES;S;CANCELADO;CADUCOU;28;159
2328;CARBOLIBBS;SIMILAR;2009-05-01;ANTINEOPLASICOS CITOTOXICOS;S;CANCELADO;CADUCOU;4;406
2329;CARBOLIM;SIMILAR;2018-11-01;OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO;S;CANCELADO;CADUCOU;14;73
2330;CARBOLITIUM;NOVO;2026-08-01;ANTIDEPRESSIVOS;S;VÁLIDO;CARBONATO DE LÍTIO;11;432
2331;CARBONATO DE CALCIO;NOVO;2001-08-01;VITAMINAS E SUPLEMENTOS MINERAIS;S;CANCELADO;CADUCOU;10;488
2332;CARBONATO DE CÁLCIO;SIMILAR;2005-02-01;OUTROS SUPLEMS  MINERAIS EXCETO DE FERRO E P/ REHIDRATACAO;S;CANCELADO;CADUCOU;24;500
2333;CARBONATO DE LÍTIO;GENÉRICO;2029-06-01;ANTIDEPRESSIVOS;S;VÁLIDO;CARBONATO DE LÍTIO;4;162
2334;CARBOPLATINA;GENÉRICO;2012-03-01;ANTINEOPLASICO;S;CANCELADO;CADUCOU;7;170
2335;CARBOTOSS;SIMILAR;2016-02-01;EXPECTORANTES BALSAMICOS E MUCOLITICO;S;CANCELADO;CADUCOU;16;188
2336;CARBOTRAT;SIMILAR;2025-12-01;EXPECTORANTES BALSAMICOS E MUCOLITICO;S;VÁLIDO;CARBOCISTEÍNA;24;285
2337;CARBOXIL;SIMILAR;2005-06-01;EXPECTORANTES;S;CANCELADO;CADUCOU;22;361
2338;CARBOXIMETILCELULOSE;SIMILAR;2006-02-01;OUTROS MEDICAMENTOS COM ACAO NO APARELHO VISUAL;S;CANCELADO;CADUCOU;30;115
2339;CARBOXIMETILCELULOSE SODICO;SIMILAR;2004-05-01;OUTROS MEDICAMENTOS COM ACAO NO APARELHO VISUAL;S;CANCELADO;CADUCOU;8;81
2340;CARBVITA - D 500;SIMILAR;2010-04-01;REPOSITOR DE CALCIO;S;CANCELADO;CADUCOU;8;9
2341;CARD-IPEN;RADIOFÁRMACO;2023-01-01;AGENTES DIAGNOSTICOS RADIOATIVOS;S;VÁLIDO;CLORETO DE TÁLIO (201 TL);27;131
2342;CARDALIN  RETARD;SIMILAR;2011-02-01;VASODILATADORES;S;CANCELADO;CADUCOU;22;447
2343;CARDBET;SIMILAR;2022-04-01;ANTI-HIPERTENSIVOS;S;CANCELADO;CADUCOU;8;39
2344;CARDBLOC;SIMILAR;2009-11-01;BETABLOQUEADORES SIMPLES;S;CANCELADO;CADUCOU;27;395
2345;CARDCOR;SIMILAR;2016-06-01;GLICOSIDEOS CARDIACOS;S;CANCELADO;CADUCOU;23;484
